epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,883.325,2.10803,3.63535,1.98861,0.4055,0.0537,0.01944,0.00523,2.56165,3.77251,2.41383,0.000416565,0.000416565,0.000416565
2,1733.71,2.1029,3.32375,2.02157,0.45288,0.03898,0.02851,0.00877,2.48945,3.47453,2.31637,0.000805735,0.000805735,0.000805735
3,2573.03,2.04597,3.21996,1.96561,0.39798,0.05464,0.02402,0.00725,2.49116,3.43782,2.32587,0.0011674,0.0011674,0.0011674
4,3426.79,1.96949,3.0923,1.91812,0.43681,0.10073,0.05141,0.01761,2.30962,3.38697,2.1773,0.00112625,0.00112625,0.00112625
5,4252.72,1.90609,2.96968,1.86643,0.45579,0.10064,0.05719,0.02087,2.24419,3.22266,2.10128,0.001085,0.001085,0.001085
6,5077.23,1.86903,2.85754,1.83306,0.47725,0.12149,0.07939,0.02851,2.22776,3.15427,2.10875,0.00104375,0.00104375,0.00104375
7,5931.38,1.82564,2.78242,1.79589,0.49079,0.13575,0.07958,0.02791,2.21072,3.01089,2.09694,0.0010025,0.0010025,0.0010025
8,6778.74,1.79509,2.72219,1.78326,0.50594,0.12939,0.09294,0.03478,2.15055,2.85758,2.01052,0.00096125,0.00096125,0.00096125
9,7634.88,1.78085,2.63,1.76647,0.5057,0.15047,0.10011,0.03736,2.13867,2.91498,2.02821,0.00092,0.00092,0.00092
10,8482.41,1.73336,2.59191,1.73565,0.54336,0.16056,0.13826,0.05769,2.07523,2.76777,1.96237,0.00087875,0.00087875,0.00087875
11,9335.66,1.7279,2.50434,1.71641,0.58174,0.16773,0.14926,0.06071,2.09838,2.75886,1.99769,0.0008375,0.0008375,0.0008375
12,10183.6,1.69628,2.4157,1.69578,0.25993,0.21373,0.15369,0.0645,2.05026,2.6418,1.93253,0.00079625,0.00079625,0.00079625
13,11035.2,1.66551,2.37994,1.67045,0.54673,0.18764,0.15104,0.06411,2.06261,2.7435,1.94846,0.000755,0.000755,0.000755
14,11895.2,1.66296,2.34424,1.66815,0.22079,0.2126,0.18078,0.07373,1.99915,2.57976,1.8965,0.00071375,0.00071375,0.00071375
15,12753.5,1.65079,2.28092,1.66182,0.3139,0.25891,0.20529,0.08755,1.98502,2.55133,1.88124,0.0006725,0.0006725,0.0006725
16,13604.9,1.63255,2.23651,1.63568,0.27696,0.22596,0.18568,0.07908,1.98362,2.43515,1.86191,0.00063125,0.00063125,0.00063125
17,14453.5,1.61522,2.18109,1.62512,0.28486,0.24631,0.22493,0.09728,1.96891,2.36745,1.85363,0.00059,0.00059,0.00059
18,15294.3,1.58286,2.15078,1.60245,0.32514,0.26907,0.2228,0.09755,1.95992,2.3282,1.85693,0.00054875,0.00054875,0.00054875
19,16141.3,1.56749,2.08349,1.58928,0.36312,0.27847,0.25824,0.11168,1.93541,2.23943,1.85692,0.0005075,0.0005075,0.0005075
20,16989.8,1.5529,2.05078,1.58077,0.38938,0.29006,0.25884,0.11435,1.93164,2.23625,1.82898,0.00046625,0.00046625,0.00046625
21,17842.3,1.61667,1.94971,1.63512,0.37501,0.31155,0.2729,0.119,1.91179,2.21503,1.80668,0.000425,0.000425,0.000425
22,18689.6,1.57556,1.8652,1.60185,0.34767,0.31019,0.27113,0.12232,1.91794,2.21406,1.82478,0.00038375,0.00038375,0.00038375
23,19531,1.55554,1.80717,1.58331,0.39283,0.30876,0.28593,0.12652,1.92498,2.16745,1.80571,0.0003425,0.0003425,0.0003425
24,20372.2,1.54225,1.7749,1.57014,0.41008,0.30995,0.29909,0.13223,1.88858,2.10088,1.78826,0.00030125,0.00030125,0.00030125
25,21215.2,1.51731,1.69629,1.55003,0.42414,0.30659,0.30421,0.13723,1.88724,2.06479,1.77787,0.00026,0.00026,0.00026
26,22063.1,1.49799,1.6627,1.54269,0.43948,0.31175,0.31152,0.14431,1.87956,2.03678,1.76147,0.00021875,0.00021875,0.00021875
27,22907.3,1.48451,1.61245,1.52626,0.44728,0.30917,0.32169,0.14584,1.87903,2.01927,1.7657,0.0001775,0.0001775,0.0001775
28,23756.5,1.46841,1.57894,1.51105,0.43888,0.3376,0.33481,0.15352,1.85519,1.9505,1.74953,0.00013625,0.00013625,0.00013625
29,24596.3,1.45519,1.52964,1.49838,0.46977,0.32037,0.33586,0.15745,1.8523,1.95346,1.72853,9.5e-05,9.5e-05,9.5e-05
30,25441.9,1.43791,1.50546,1.48285,0.457,0.33927,0.33779,0.15612,1.85917,1.9617,1.74786,5.375e-05,5.375e-05,5.375e-05
