epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.265,2.23947,3.1425,2.01348,0.29288,0.1692,0.15757,0.06001,2.46227,2.94828,2.05743,0.000555302,0.000555302,0.000555302
2,823.044,2.20791,2.62296,2.00584,0.28773,0.18786,0.15784,0.06679,2.39573,2.89003,2.0952,0.00107431,0.00107431,0.00107431
3,1217.51,2.15701,2.56086,1.98022,0.32748,0.22251,0.1886,0.07111,2.39751,2.57874,2.03594,0.00155664,0.00155664,0.00155664
4,1615.44,2.12105,2.46181,1.93883,0.33047,0.22903,0.19695,0.08112,2.31002,2.4573,1.94342,0.00150197,0.00150197,0.00150197
5,2024.5,2.07433,2.39275,1.91455,0.3474,0.26317,0.24536,0.10384,2.25497,2.3806,1.9435,0.00144696,0.00144696,0.00144696
6,2425.98,2.02978,2.29615,1.86647,0.4462,0.22221,0.23571,0.09897,2.25871,2.48944,1.94266,0.00139195,0.00139195,0.00139195
7,2832.7,1.99237,2.22361,1.85223,0.38217,0.29321,0.26392,0.10769,2.22819,2.39773,1.93349,0.00133693,0.00133693,0.00133693
8,3257.89,1.96115,2.14839,1.82842,0.38096,0.25227,0.26191,0.11235,2.2538,2.37072,1.93289,0.00128192,0.00128192,0.00128192
9,3647.19,1.94624,2.08034,1.80938,0.43586,0.28877,0.29338,0.11885,2.19961,2.32678,1.89188,0.00122691,0.00122691,0.00122691
10,4042.62,1.90913,2.04184,1.7913,0.43936,0.26486,0.28473,0.12168,2.18672,2.27155,1.90619,0.0011719,0.0011719,0.0011719
11,4433.04,1.91273,2.01591,1.7919,0.46312,0.3022,0.32134,0.13223,2.17314,2.11265,1.86697,0.00111689,0.00111689,0.00111689
12,4825.54,1.87369,1.93614,1.76156,0.44565,0.32971,0.32764,0.13625,2.18727,2.143,1.8917,0.00106188,0.00106188,0.00106188
13,5221.3,1.86963,1.91261,1.74089,0.45997,0.33757,0.33229,0.14108,2.16786,2.17061,1.85399,0.00100687,0.00100687,0.00100687
14,5619.81,1.836,1.86004,1.72417,0.52236,0.33028,0.35958,0.15755,2.11188,2.06185,1.83365,0.000951857,0.000951857,0.000951857
15,6016.74,1.83292,1.83035,1.73165,0.49803,0.32411,0.34911,0.15869,2.10653,2.08943,1.85927,0.000896846,0.000896846,0.000896846
16,6414.23,1.81725,1.7873,1.70552,0.4737,0.36163,0.38023,0.1685,2.10572,2.04427,1.83314,0.000841835,0.000841835,0.000841835
17,6810.29,1.80528,1.77625,1.71904,0.53262,0.35303,0.37418,0.16524,2.04618,2.07468,1.78886,0.000786824,0.000786824,0.000786824
18,7208.7,1.78615,1.75039,1.7004,0.54438,0.36906,0.38797,0.17331,2.09436,1.99418,1.83019,0.000731813,0.000731813,0.000731813
19,7606.64,1.76099,1.67975,1.67941,0.55404,0.35503,0.38574,0.17043,2.0858,1.96881,1.8312,0.000676802,0.000676802,0.000676802
20,8003,1.75432,1.67202,1.66743,0.52909,0.37539,0.4092,0.17712,2.08421,1.96966,1.80846,0.000621791,0.000621791,0.000621791
21,8405.5,1.7223,1.51007,1.71305,0.58215,0.38601,0.41754,0.18405,2.09162,1.98461,1.81201,0.00056678,0.00056678,0.00056678
22,8803,1.68506,1.44225,1.67551,0.59507,0.3808,0.4135,0.18337,2.0762,1.94703,1.81311,0.000511769,0.000511769,0.000511769
23,9199.41,1.66883,1.40558,1.67562,0.59879,0.37829,0.40202,0.18634,2.0551,1.93253,1.82118,0.000456758,0.000456758,0.000456758
24,9595.4,1.65462,1.36642,1.66319,0.61349,0.4044,0.43042,0.18898,2.07327,1.94392,1.81537,0.000401747,0.000401747,0.000401747
25,9991.14,1.6275,1.32711,1.64113,0.60174,0.41311,0.42828,0.19232,2.05237,1.91694,1.79543,0.000346736,0.000346736,0.000346736
26,10384.1,1.625,1.29171,1.63569,0.59147,0.40936,0.4312,0.19567,2.04164,1.92331,1.79519,0.000291725,0.000291725,0.000291725
27,10779.1,1.6058,1.26222,1.6191,0.62403,0.40407,0.43231,0.1955,2.05627,1.98065,1.80237,0.000236714,0.000236714,0.000236714
28,11177,1.58362,1.21014,1.59827,0.62651,0.41187,0.44036,0.20392,2.05274,1.92684,1.7984,0.000181703,0.000181703,0.000181703
29,11577.6,1.56962,1.18418,1.59164,0.62855,0.41376,0.443,0.20539,2.04188,1.9273,1.81146,0.000126692,0.000126692,0.000126692
30,11980.2,1.55058,1.15587,1.57155,0.64333,0.41982,0.45354,0.21308,2.02096,1.93004,1.78763,7.1681e-05,7.1681e-05,7.1681e-05
