epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.876,2.01,3.76699,1.85597,0.38979,0.07281,0.02221,0.00654,2.47746,3.87708,2.21852,0.000416514,0.000416514,0.000416514
2,1327.32,1.9954,3.23003,1.87881,0.4266,0.08166,0.03607,0.01178,2.48011,3.43375,2.31998,0.000805686,0.000805686,0.000805686
3,1977.99,1.97264,3.07231,1.86221,0.44354,0.07831,0.04305,0.01392,2.34329,3.21331,2.17212,0.00116736,0.00116736,0.00116736
4,2625.79,1.93498,2.98712,1.83843,0.45418,0.0763,0.04726,0.01753,2.3395,3.1904,2.22737,0.00112625,0.00112625,0.00112625
5,3272.09,1.87286,2.8505,1.78186,0.46054,0.10662,0.06238,0.02082,2.27899,3.11235,2.11011,0.001085,0.001085,0.001085
6,3922.17,1.8279,2.73922,1.75098,0.47075,0.11786,0.07829,0.03089,2.2053,3.03725,2.0289,0.00104375,0.00104375,0.00104375
7,4574.84,1.79395,2.66425,1.73498,0.46178,0.15304,0.08681,0.03266,2.23468,3.05911,2.0451,0.0010025,0.0010025,0.0010025
8,5222.39,1.76424,2.59834,1.70713,0.52289,0.13558,0.12204,0.0474,2.13902,2.83798,2.00232,0.00096125,0.00096125,0.00096125
9,5870.09,1.73688,2.53283,1.6856,0.21976,0.18515,0.13463,0.05337,2.14975,2.75089,1.98872,0.00092,0.00092,0.00092
10,6523.35,1.7219,2.48903,1.67658,0.30788,0.18698,0.14844,0.06204,2.11358,2.70116,1.97569,0.00087875,0.00087875,0.00087875
11,7172.35,1.69481,2.42651,1.65329,0.29867,0.21321,0.16135,0.06614,2.07689,2.63504,1.94278,0.0008375,0.0008375,0.0008375
12,7820.38,1.67884,2.34656,1.63527,0.3328,0.20417,0.15801,0.06682,2.06118,2.6476,1.93743,0.00079625,0.00079625,0.00079625
13,8470.03,1.6652,2.30254,1.61766,0.28444,0.22515,0.17686,0.07457,2.06413,2.49522,1.89857,0.000755,0.000755,0.000755
14,9119.41,1.65309,2.28915,1.62231,0.36663,0.20238,0.18561,0.07852,2.06285,2.56384,1.92679,0.00071375,0.00071375,0.00071375
15,9771.51,1.62991,2.22597,1.60289,0.37556,0.23292,0.21503,0.08687,2.05016,2.4562,1.87184,0.0006725,0.0006725,0.0006725
16,10420.1,1.60536,2.18376,1.57006,0.30819,0.24303,0.20391,0.08405,1.9983,2.46825,1.84631,0.00063125,0.00063125,0.00063125
17,11069.1,1.60354,2.13319,1.57563,0.39264,0.23159,0.22541,0.09918,2.03489,2.34929,1.88843,0.00059,0.00059,0.00059
18,11717.8,1.57821,2.08627,1.55355,0.34273,0.25752,0.24646,0.10815,1.9947,2.27431,1.85236,0.00054875,0.00054875,0.00054875
19,12367.9,1.56418,2.03986,1.54125,0.39374,0.26956,0.26066,0.11615,1.94114,2.22938,1.79669,0.0005075,0.0005075,0.0005075
20,13016,1.55604,2.02407,1.53447,0.38476,0.25617,0.26424,0.1201,1.9646,2.23388,1.83945,0.00046625,0.00046625,0.00046625
21,13659.6,1.58992,1.93637,1.57081,0.44707,0.24813,0.27108,0.12103,1.95461,2.23035,1.78507,0.000425,0.000425,0.000425
22,14289.9,1.57298,1.85624,1.55567,0.47014,0.29491,0.28768,0.12743,1.95347,2.18784,1.81439,0.00038375,0.00038375,0.00038375
23,14915.2,1.54509,1.81381,1.53675,0.36961,0.30889,0.28672,0.12849,1.95061,2.13869,1.78319,0.0003425,0.0003425,0.0003425
24,15541.8,1.52352,1.75838,1.51573,0.44268,0.28728,0.30092,0.13961,1.89831,2.07931,1.74209,0.00030125,0.00030125,0.00030125
25,16162.6,1.52757,1.72299,1.51651,0.41294,0.31067,0.30843,0.14178,1.90337,2.07177,1.74448,0.00026,0.00026,0.00026
26,16787.8,1.50399,1.68211,1.49599,0.4372,0.31439,0.32141,0.14667,1.91314,2.02946,1.75209,0.00021875,0.00021875,0.00021875
27,17414,1.48644,1.64599,1.48684,0.44596,0.31024,0.31652,0.14831,1.88775,2.0619,1.73747,0.0001775,0.0001775,0.0001775
28,18040.3,1.45767,1.59051,1.4673,0.44179,0.32655,0.33318,0.1571,1.91424,2.0173,1.75329,0.00013625,0.00013625,0.00013625
29,18659.4,1.46886,1.58184,1.46923,0.47303,0.31981,0.3298,0.15679,1.90292,1.99888,1.74072,9.5e-05,9.5e-05,9.5e-05
30,19281.8,1.43362,1.54022,1.44607,0.47531,0.34465,0.34175,0.16058,1.89093,1.98453,1.73535,5.375e-05,5.375e-05,5.375e-05
